Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message
2.0611149999999907,1242,,,,,12.332012443882293,0.19765207100362941,4208,0,2.3115919664560614,,
2.087589999999967,1242,,,,,12.33031440683258,0.20411453368718066,4273,0,2.388292200877381,,
2.1086300000000047,1242,,,,,12.328743119488484,0.21197171147042726,4335,0,2.4912472783056643,,
2.1312999999999303,1242,,,,,12.327524677281867,0.21775394908615314,4394,0,2.5508400069711943,,
2.1568150000000603,1242,,,,-14.521693798785845,12.325682510538792,0.22209965539027965,4444,0,2.6106037958575192,,
2.1802750000000235,1242,,,,,12.324782411868528,0.2260505120640745,4491,0,2.65834855968212,,
2.20429999999993,1248,,,,,12.324304692175009,0.22717044512564855,4534,0,2.6718300861656563,,
2.2277399999999905,1248,,,,,12.32367452290827,0.22911282645346498,4570,0,2.6872217574440285,,
2.2531850000000557,1248,,,,,12.321889334778088,0.2319182707723303,4606,0,2.7326493753349808,,
2.2750650000000605,1248,,,,,12.320304784328695,0.2373339191399887,4661,0,2.79892722099784,,
2.303349999999977,1255,,,,-15.755907656642789,12.318589986003678,0.24315400547930963,4705,0,2.8794657292709456,,
2.326489999999991,1255,,,,,12.317699867217804,0.24626219978356972,4752,0,2.91264324400402,,
2.351430000000051,1255,,,,,12.31641836608831,0.2498151908875107,4793,0,2.9555009286140894,,
2.3767600000000093,1255,,,,,12.313726000598052,0.2567474820804904,4834,0,3.0456294689828627,,
2.4045849999999627,1255,,,,,12.311780629845781,0.2646818114394194,4897,0,3.1490167900638344,,
2.4290999999999765,1255,,,,,12.310303976107264,0.2691449323682599,4954,0,3.1985025151465387,,
2.4513849999998927,1255,,,,-18.45053638866204,12.309185112532292,0.27375473533499,5001,0,3.2603383186111325,,
2.473920000000042,1255,,,,,12.307775952332452,0.27391048376910365,5037,0,3.276775162751256,,
2.4963399999999676,1255,,,,,12.30697284762525,0.27629970632502376,5070,0,3.308815923997586,,
2.527694999999949,1255,,,,,12.305768241543245,0.27985619290203145,5100,0,3.358875595271428,,
2.551734999999986,1255,,,,,12.305521765372477,0.28168386115717703,5121,0,3.379768651721766,,
2.5773800000000047,1255,,,,,12.304879681891418,0.28330072961288183,5147,0,3.390784460747031,,
2.6003399999999672,1255,,,,-21.62106930856551,12.304130212281537,0.28551310354118575,5165,0,3.4169940263378615,,
2.623159999999916,1255,,,,,12.30366649823615,0.2870255818260695,5181,0,3.4366132430825647,,
2.6472149999999672,1255,,,,,12.303313502320401,0.28714137280809443,5195,0,3.4320543161108077,,
2.6730149999998973,1255,,,,,12.303185868904537,0.2862138435792313,5205,0,3.416062930353547,,
2.69525,1255,,,,,12.302810741115664,0.2864260094991615,5217,0,3.421724179115972,,
2.722625,1255,,,,,12.302414272209068,0.28690718511615154,5225,0,3.4318402504150223,,
2.7473549999999816,1255,,,,-23.029776924893746,12.30222857441582,0.2881310151670235,5233,0,3.440709881672014,,
2.7746300000000046,1255,,,,,12.301803209278487,0.288477606033544,5243,0,3.437647846435418,,
2.800609999999986,1255,,,,,12.301757611869522,0.28595207944462775,5247,0,3.4075433381344964,,
2.822584999999963,1255,,,,,12.301679741568801,0.28601637581538264,5252,0,3.4141842067316692,,
2.8524099999999164,1255,,,,,12.301392907882427,0.2872845662935733,5257,0,3.4188067995496842,,
2.8763300000000744,1261,,,,,12.301494154896734,0.2900058070648682,5263,0,3.446254030440521,,
2.9022549999998883,1261,,,,-23.944837844674662,12.301767288501372,0.29144602296636346,5273,0,3.4663946989313326,,
2.925125,1261,,,,,12.300926703853804,0.29407759539539,5272,0,3.4914005780685753,,
2.9509199999999254,1261,,,,,12.300057007472876,0.2998696323612199,5295,0,3.5649959003441234,,
2.9733250000000697,1261,,,,,12.299079409444197,0.3034632814435126,5320,0,3.614431619583641,,
2.9964650000000836,1261,,,,,12.298425462081136,0.30621861200324374,5342,0,3.6593167021167226,,
3.0233849999998927,1261,,,,,12.297956850682093,0.30988920297147277,5364,0,3.70665001592997,,
3.04642499999993,1261,,,,-25.978352813367113,12.297364747114655,0.31071625492137134,5375,0,3.7196227083017064,,
3.07479999999993,1261,,,,,12.296965311946142,0.3099116034483169,5392,0,3.7144305842130128,,
3.1008050000000513,1261,,,,,12.297074468503252,0.3107537070209858,5402,0,3.723051697158174,,
3.128344999999972,1261,,,,,12.296229527390164,0.3117615648512042,5412,0,3.7255396487648613,,
3.151534999999916,1267,,,,,12.29609578294651,0.3124193402628098,5421,0,3.7324495123143904,,
3.175545000000042,1267,,,,,12.295791467202674,0.31248967661093324,5425,0,3.7395932264622864,,
3.2009549999999583,1267,,,,-26.870243904279604,12.295091731035065,0.3158185249348796,5432,0,3.7734355444934193,,
3.227179999999935,1267,,,,,12.293978974536012,0.3196271756348974,5450,0,3.811997096594432,,
3.2530500000000466,1267,,,,,12.29189960095504,0.32468747671979936,5482,0,3.8652487389436154,,
3.2754499999999536,1267,,,,,12.290990750811247,0.32683537933997026,5513,0,3.8825420019296333,,
3.298395000000019,1267,,,,,12.290389075504981,0.3308505904355561,5540,0,3.9335734815872803,,
3.3223299999999583,1267,,,,,12.289844714137214,0.3294271492023969,5558,0,3.9190640352089137,,
3.3443850000000093,1267,,,,-27.267061982352857,12.289092826478473,0.32989079024185436,5577,0,3.9251438136371752,,
3.374959999999963,1267,,,,,12.288528793295889,0.3299146272181095,5580,0,3.921862987764886,,
3.4028399999999674,1267,,,,,12.288346768852305,0.3308955566430705,5596,0,3.9370743250633113,,
3.4255,1267,,,,,12.288108696468132,0.33228590471030195,5605,0,3.947462424404682,,
3.4511949999999487,1267,,,,,12.286452128740802,0.33744089908924907,5621,0,4.02146077701952,,
3.4744899999999905,1267,,,,,12.28686837617901,0.33936774790282676,5643,0,4.0479414629088755,,
3.4972999999999304,1267,,,,-27.879068466949125,12.286620369896125,0.33969033785270797,5648,0,4.049298483067385,,
3.523329999999958,1267,,,,,12.286698839356069,0.33951747851726993,5644,0,4.047366278041801,,
3.5507149999999674,1267,,,,,12.28660967002104,0.34107312223696407,5646,0,4.06342537685209,,
3.5763000000000464,1267,,,,,12.286178475930155,0.341856634419964,5647,0,4.079959323813317,,
3.6014149999999208,1267,,,,,12.286296805148805,0.34085879836115046,5645,0,4.063586073627315,,
3.632494999999995,1267,,,,,12.285981894298853,0.34284574778638977,5649,0,4.078878333703978,,
3.6548300000000746,1267,,,,-28.43261650263897,12.285968975890283,0.34126426883732397,5649,0,4.066574346428136,,
3.677914999999921,1267,,,,,12.28578596456983,0.34299658151319723,5646,0,4.082828674057961,,
3.70929999999993,1274,,,,,12.285741519526322,0.34067506005859227,5651,0,4.06197697310719,,
3.736760000000009,1274,,,,,12.285515054375132,0.34046493118247784,5654,0,4.0603300121154975,,
3.758709999999963,1274,,,,,12.2847859274075,0.34245349774798306,5658,0,4.084082966242064,,
3.7824399999999443,1274,,,,,12.28308050108586,0.3515708563245157,5677,0,4.185711056835816,,
3.804739999999991,1274,,,,-29.481049260802095,12.281457872524385,0.3584999501451379,5713,0,4.2756221912190835,,
3.82770000000007,1274,,,,,12.279855197714639,0.3624840304207796,5739,0,4.325631818876202,,
3.856274999999907,1274,,,,,12.27869161795422,0.3646495365055591,5766,0,4.35252850670267,,
3.880295000000042,1274,,,,,12.277952051943814,0.3675258702688429,5783,0,4.389916564790435,,
3.905739999999991,1274,,,,,12.27755014148206,0.3683046318907565,5800,0,4.400712340401209,,
3.928539999999921,1280,,,,,12.277176417394355,0.3703702278534484,5810,0,4.425030617057465,,
3.9511999999999534,1280,,,,-30.30919964096715,12.276597852574266,0.3731944227093149,5822,0,4.455293126167967,,
3.9795050000000045,1292,,,,,12.275933624724804,0.3766819316208205,5831,0,4.498922977237908,,
4.005054999999935,1292,,,,,12.273830642577666,0.3810462581452433,5860,0,4.556003627400894,,
4.027194999999948,1299,,,,,12.272252928168006,0.3869328290556815,5890,0,4.626537445657995,,
