Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message,
5644.538661462,1198,,,,,12.573355475174708,0.08296020258729599,0,0,0.9188278825888955,,,
5644.560341462001,1198,,,,-7.190282091169104,12.573622663645759,0.08535229772933611,0,0,0.9504992950158611,,,
5644.586721462,1198,,,,,12.573888730668918,0.08622677152953209,0,0,0.9703073564923138,,,
5644.616606462,1198,,,,,12.573356426423107,0.08637103425842654,0,0,0.9796554545812124,,,
5644.641876462,1198,,,,,12.573516542484937,0.08675463387661679,0,0,0.9866561840472834,,,
5644.665361462001,1204,,,,,12.573276893224378,0.08594436063236484,0,0,0.9730420567873838,,,
5644.686431462001,1204,,,,,12.57334941452754,0.08673368612650628,0,0,0.9766763322637455,,,
5644.710261462001,1204,,,,-7.177189653735402,12.573131824199493,0.08870621406052334,0,0,1.001903280334501,,,
5644.735851462001,1204,,,,,12.571472214958602,0.0952279138733304,0,0,1.0812271714876984,,,
5644.758591462,1204,,,,,12.570975851895286,0.09674624585223682,2,0,1.1020117039993156,,,
5644.784631462,1204,,,,,12.570629865279816,0.09574440997861366,3,0,1.0994728969130163,,,
5644.810226462,1204,,,,,12.570499345763254,0.09747631874813373,3,0,1.1150388732911227,,,
5644.842581462,1204,,,,,12.57072185776566,0.10091299171343741,3,0,1.1594766000369339,,,
5644.870396462001,1204,,,,-7.8314919299029215,12.570733646937985,0.10217722414306729,3,0,1.1730009451974488,,,
5644.892646462001,1204,,,,,12.570724034162332,0.10097435331204845,3,0,1.164167026558901,,,
5644.915506462001,1211,,,,,12.570240796148445,0.10126473665567615,3,0,1.1585505577470945,,,
5644.938501462,1217,,,,,12.570229257217365,0.10165560038064739,3,0,1.1562980581941593,,,
5644.965476462001,1217,,,,,12.570461956821864,0.10175748099250105,3,0,1.152914065917399,,,
5644.988446462001,1223,,,,,12.570277065162884,0.10529349972908394,48,0,1.200243541291697,,,
5645.013881462,1223,,,,-8.07754200321418,12.569436470526776,0.110880459771755,2187,0,1.2645526312733095,,,
5645.042921462002,1223,,,,,12.568629238884677,0.11817825041074483,3311,0,1.3492742030940557,,,
5645.066681462001,1223,,,,,12.567839154971548,0.12336291838942191,3588,0,1.4126029603145192,,,
5645.089781462,1223,,,,,12.566580279316101,0.12732374781362552,3699,0,1.463281228163387,,,
5645.112066462001,1223,,,,,12.566124595388791,0.13043635340857254,3766,0,1.5022618435584558,,,
5645.135551462001,1223,,,,,12.565321594285999,0.13469172385633552,3831,0,1.5603613715459255,,,
5645.159056462,1223,,,,-9.571995915511689,12.564337102904192,0.1365520169958377,3878,0,1.5826642276918497,,,
5645.194621462,1223,,,,,12.563458216825708,0.14387782978374233,3928,0,1.6660024346044136,,,
